"bpd2","bw_z","ga","globalbrainscore2","anyrop","sepsis2"
0,0,0,1,0,0
1,0,0,1,0,1
0,0,0,1,0,1
1,1,0,1,1,1
1,1,0,1,1,0
1,0,1,1,0,1
1,0,0,1,0,0
1,1,1,1,1,1
1,0,0,1,0,1
1,0,0,1,0,0
0,0,0,0,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
1,1,1,1,1,1
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
0,0,0,0,0,0
1,1,0,1,0,0
0,0,0,1,1,1
0,0,0,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
1,1,1,1,1,1
0,0,0,1,0,0
0,0,0,1,0,0
1,1,0,1,0,0
1,0,0,1,0,1
1,1,1,1,1,1
1,0,0,1,0,0
0,0,0,1,0,0
1,1,1,1,1,1
1,0,0,1,0,0
1,0,1,1,0,1
1,0,0,1,0,1
1,1,1,1,0,1
0,0,0,0,0,0
0,0,0,1,0,0
1,0,0,1,0,1
0,1,1,1,1,1
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
1,0,1,1,1,0
0,0,0,1,0,0
1,1,1,1,1,1
1,1,0,1,0,0
0,0,0,1,0,0
1,0,0,1,1,1
1,1,0,1,1,1
1,0,0,1,1,1
1,0,1,1,1,1
1,1,1,1,0,1
0,0,0,0,0,0
1,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,1
0,0,0,1,0,1
0,0,0,1,0,0
0,1,0,1,0,1
1,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,1
0,0,0,1,0,0
1,0,0,1,0,0
0,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,1
1,1,1,1,0,0
1,0,0,1,0,0
1,0,0,1,0,1
0,0,0,1,1,1
1,0,0,1,1,1
1,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,0
1,1,1,1,1,1
1,0,0,1,0,1
1,0,1,1,0,0
1,1,1,1,1,1
0,0,0,1,0,0
1,0,0,1,0,1
0,0,0,0,0,0
1,0,1,1,0,0
0,0,0,1,0,0
1,1,1,1,1,0
1,0,0,1,0,1
1,0,0,1,0,0
1,0,0,1,0,1
0,0,0,1,0,0
1,0,0,1,1,1
1,1,1,1,1,1
1,0,0,0,0,0
1,1,0,1,1,1
1,0,1,1,1,0
