"","Density","Strength","GE","ACC","SW"
"Unadjusted","","","","",""
"n (VPT/FT)","171/45","169/45","170/45","171/45","169/44"
"Test statistic","t = 3.79","F = 2.10","F = 19.94","F = 76.87","χ² = 36.31ᵃ"
"p-value","<.001","0.085","<0.001","<0.001","<0.001"
"Variance explained","—","8.4%","30.4%","97.5%","43.7%ᵃ"
"Functional variance explained","—","1.7%","2.6%","4.1%","0.4%ᵃ"
"Effect direction","VPT < FT","VPT < FT","VPT < FT","VPT > FT","VPT > FT"
"CI excludes zero","—","45.2–100%","27.2–100%","11–100%","11–27.2%"
"Fully Adjusted","","","","",""
"n (VPT/FT)","171/45","169/45","170/45","171/45","169/44"
"Test statistic","β = −0.016","F = 3.85","F = 17.14","F = 69.69","χ² = 601.57ᵃ"
"p-value","<.001","<0.001","<0.001","<0.001","<0.001"
"Variance explained","—","52.9%","37.5%","97.8%","44.7%ᵃ"
"Functional variance explained","—","49.5%","12.5%","14.5%","2.2%ᵃ"
"Effect direction","VPT < FT","VPT < FT","VPT < FT","VPT > FT","VPT > FT"
"CI excludes zero","—","11–100%","ns","18.2–100%","11–42.5%"
