"Metric","Term","k'","edf","k-index","p-value"
"Strength","Intercept","19","16.38","1.00","0.56"
"Strength","Group (VPT vs FT)","20","3.69","1.00","0.56"
"Strength","Age at MRI","20","1.03","1.00","0.61"
"Strength","Total intracranial volume","20","5.93","1.00","0.48"
"Strength","Sex","20","1.01","1.00","0.56"
"Strength","Relative motion","20","2.29","1.00","0.54"
"Normalized GE","Intercept","19","18.06","1.00","0.56"
"Normalized GE","Group (VPT vs FT)","20","8.38","1.00","0.62"
"Normalized GE","Age at MRI","20","5.91","1.00","0.55"
"Normalized GE","Total intracranial volume","20","5.53","1.00","0.66"
"Normalized GE","Sex","20","1.06","1.00","0.60"
"Normalized GE","Relative motion","20","10.82","1.00","0.60"
"Normalized ACC","Intercept","19","18.92","1.01","0.72"
"Normalized ACC","Group (VPT vs FT)","20","9.38","1.01","0.61"
"Normalized ACC","Age at MRI","20","7.33","1.01","0.68"
"Normalized ACC","Total intracranial volume","20","10.38","1.01","0.61"
"Normalized ACC","Sex","20","11.43","1.01","0.57"
"Normalized ACC","Relative motion","20","15.84","1.01","0.59"
"Small-Worldness","Intercept","19","16.28","0.97","0.21"
"Small-Worldness","Group (VPT vs FT)","20","4.70","0.97","0.26"
"Small-Worldness","Age at MRI","20","6.67","0.97","0.27"
"Small-Worldness","Total intracranial volume","20","6.01","0.97","0.23"
"Small-Worldness","Sex","20","6.69","0.97","0.22"
"Small-Worldness","Relative motion","20","11.06","0.97","0.17"
"Raw GE","Intercept","19","0.01","1.01","0.81"
"Raw GE","Group (VPT vs FT)","20","1.01","1.01","0.80"
"Raw GE","Age at MRI","20","1.01","1.01","0.84"
"Raw GE","Total intracranial volume","20","1.01","1.01","0.75"
"Raw GE","Sex","20","1.01","1.01","0.80"
"Raw GE","Relative motion","20","1.01","1.01","0.82"
"Raw ACC","Intercept","19","18.85","1.00","0.38"
"Raw ACC","Group (VPT vs FT)","20","8.13","1.00","0.37"
"Raw ACC","Age at MRI","20","2.72","1.00","0.42"
"Raw ACC","Total intracranial volume","20","17.08","1.00","0.37"
"Raw ACC","Sex","20","7.31","1.00","0.33"
"Raw ACC","Relative motion","20","14.86","1.00","0.34"
