"Metric","Exposure","F","p","Significant","Direction","CI excludes 0 from (%)","to (%)","% density significant"
"Strength","BPD","2.78","<0.001","Y","Negative","32.58","100.00","76.0"
"Strength","BWZ","2.37","0.002","N",NA,NA,NA,"0.0"
"Strength","GA","3.14","<0.001","Y","Positive","11.00","100.00","100.0"
"Strength","GBA","3.12","<0.001","Y","Negative","27.18","100.00","82.0"
"Strength","ROP","2.96","<0.001","Y","Negative","40.67","100.00","67.0"
"Strength","Sepsis","2.30","<0.001","N",NA,NA,NA,"0.0"
"Strength","DWMA","2.26","0.003","N",NA,NA,NA,"0.0"
"Normalized GE","BPD","10.50","<0.001","Y","Negative","24.48","49.66","29.0"
"Normalized GE","BWZ","12.25","<0.001","Y","Positive","11.00","52.35","47.0"
"Normalized GE","GA","10.52","<0.001","N",NA,NA,NA,"0.0"
"Normalized GE","GBA","13.64","<0.001","N",NA,NA,NA,"0.0"
"Normalized GE","ROP","10.14","<0.001","N",NA,NA,NA,"0.0"
"Normalized GE","Sepsis","10.42","<0.001","N",NA,NA,NA,"0.0"
"Normalized GE","DWMA","10.96","<0.001","N",NA,NA,NA,"0.0"
"Normalized ACC","BPD","60.73","<0.001","Y","Positive","11.00","100.00","90.0"
"Normalized ACC","BWZ","68.06","<0.001","N",NA,NA,NA,"0.0"
"Normalized ACC","GA","68.68","<0.001","Y","Negative","28.98","100.00","80.0"
"Normalized ACC","GBA","79.36","<0.001","Y","Positive","11.00","100.00","100.0"
"Normalized ACC","ROP","57.34","<0.001","Y","Positive","28.08","100.00","58.0"
"Normalized ACC","Sepsis","56.30","<0.001","Y","Positive","28.08","76.63","54.0"
"Normalized ACC","DWMA","54.21","<0.001","N",NA,NA,NA,"0.0"
"Small-Worldness","BPD","14.46","<0.001","Y","Positive","14.60","56.85","48.0"
"Small-Worldness","BWZ","10.52","<0.001","N",NA,NA,NA,"0.0"
"Small-Worldness","GA","14.30","<0.001","Y","Negative","11.00","100.00","100.0"
"Small-Worldness","GBA","12.87","<0.001","Y","Positive","11.00","31.68","24.0"
"Small-Worldness","ROP","23.89","<0.001","Y","Positive","16.39","100.00","94.0"
"Small-Worldness","Sepsis","10.65","<0.001","N",NA,NA,NA,"0.0"
"Small-Worldness","DWMA","12.81","<0.001","N",NA,NA,NA,"0.0"
