"Test","Metric","Exposure","K (FPCs)","cumPVE (%)","p (perm)"
"Global exposure set","Strength","All",3,"100.0","0.024"
"Global exposure set","Normalized GE","All",3,"99.6","0.090"
"Global exposure set","Normalized ACC","All",5,"99.8","<0.001"
"Global exposure set","Small-Worldness","All",5,"99.5","0.022"
"Incremental (per-exposure)","Strength","BPD",3,"100.0","0.675"
"Incremental (per-exposure)","Strength","BWZ",3,"100.0","0.442"
"Incremental (per-exposure)","Strength","GA",3,"100.0","0.274"
"Incremental (per-exposure)","Strength","GBA",3,"100.0","0.020"
"Incremental (per-exposure)","Strength","ROP",3,"100.0","0.846"
"Incremental (per-exposure)","Strength","Sepsis",3,"100.0","0.649"
"Incremental (per-exposure)","Normalized GE","BPD",3,"99.6","0.070"
"Incremental (per-exposure)","Normalized GE","BWZ",3,"99.6","0.122"
"Incremental (per-exposure)","Normalized GE","GA",3,"99.6","0.091"
"Incremental (per-exposure)","Normalized GE","GBA",3,"99.6","0.454"
"Incremental (per-exposure)","Normalized GE","ROP",3,"99.6","0.332"
"Incremental (per-exposure)","Normalized GE","Sepsis",3,"99.6","0.701"
"Incremental (per-exposure)","Normalized ACC","BPD",5,"99.8","0.039"
"Incremental (per-exposure)","Normalized ACC","BWZ",5,"99.8","0.452"
"Incremental (per-exposure)","Normalized ACC","GA",5,"99.8","0.110"
"Incremental (per-exposure)","Normalized ACC","GBA",5,"99.8","<0.001"
"Incremental (per-exposure)","Normalized ACC","ROP",5,"99.8","0.869"
"Incremental (per-exposure)","Normalized ACC","Sepsis",5,"99.8","0.635"
"Incremental (per-exposure)","Small-Worldness","BPD",5,"99.5","0.771"
"Incremental (per-exposure)","Small-Worldness","BWZ",5,"99.5","0.922"
"Incremental (per-exposure)","Small-Worldness","GA",5,"99.5","0.737"
"Incremental (per-exposure)","Small-Worldness","GBA",5,"99.5","0.205"
"Incremental (per-exposure)","Small-Worldness","ROP",5,"99.5","0.022"
"Incremental (per-exposure)","Small-Worldness","Sepsis",5,"99.5","0.661"
"Latent severity (PC1)","Strength","PC1",3,"100.0","<0.001"
"Latent severity (PC1)","Normalized GE","PC1",3,"99.6","0.115"
"Latent severity (PC1)","Normalized ACC","PC1",5,"99.8","0.011"
"Latent severity (PC1)","Small-Worldness","PC1",5,"99.5","<0.001"
